"year","hour","solar","solardiff","temp","rh","windspeed","precip","doy"
2006,0,0,0,6.10158681869507,0.776387870311737,2.53772902488708,0.0174976699054241,1
2006,1,0,0,6.10158681869507,0.776387870311737,2.53772902488708,0.0174976699054241,1
2006,2,0,0,6.10158681869507,0.776387870311737,2.53772902488708,0.0174976699054241,1
2006,3,0,0,4.53902578353882,0.863568186759949,2.55952095985413,0.00248181959614158,1
2006,4,0,0,4.53902578353882,0.863568186759949,2.55952095985413,0.00248181959614158,1
2006,5,0,0,4.53902578353882,0.863568186759949,2.55952095985413,0.00248181959614158,1
2006,6,0,0,4.97170400619507,0.822045862674713,2.63313746452332,0.00173521030228585,1
2006,7,0,0,4.97170400619507,0.822045862674713,2.63313746452332,0.00173521030228585,1
2006,8,0,0,4.97170400619507,0.822045862674713,2.63313746452332,0.00173521030228585,1
2006,9,0,0,1.54009401798248,0.872751533985138,3.64566278457642,0,1
2006,10,0,0,1.54009401798248,0.872751533985138,3.64566278457642,0,1
2006,11,0,0,1.54009401798248,0.872751533985138,3.64566278457642,0,1
2006,12,0,0,1.33016359806061,0.919910848140717,5.7446870803833,0,1
2006,13,0,0,1.33016359806061,0.919910848140717,5.7446870803833,0,1
2006,14,0,0,1.33016359806061,0.919910848140717,5.7446870803833,0,1
2006,15,315.769683837891,209.825180053711,2.24636220932007,0.957690417766571,7.43109846115112,0,1
2006,16,315.769683837891,209.825180053711,2.24636220932007,0.957690417766571,7.43109846115112,0,1
2006,17,315.769683837891,209.825180053711,2.24636220932007,0.957690417766571,7.43109846115112,0,1
2006,18,64.9572143554688,567.263305664062,6.25740957260132,0.818816840648651,8.87108039855957,0,1
2006,19,64.9572143554688,567.263305664062,6.25740957260132,0.818816840648651,8.87108039855957,0,1
2006,20,64.9572143554688,567.263305664062,6.25740957260132,0.818816840648651,8.87108039855957,0,1
2006,21,0.0002190527447965,34.6894111633301,8.69234657287598,0.832420408725739,9.03309345245361,0.025443397462368,1
2006,22,0.0002190527447965,34.6894111633301,8.69234657287598,0.832420408725739,9.03309345245361,0.025443397462368,1
